사업장명,소재지지번주소,소재지도로명주소,위도,경도
곰프 스튜디오,경기도 성남시 분당구 백현동 565-2 ,"경기도 성남시 분당구 판교역로14번길 27, 지하1층 (백현동)",37.38601833,127.1110001
브레이브 휘트니스,경기도 성남시 분당구 정자동 127-6 한솔프라자 B1003호,"경기도 성남시 분당구 내정로17번길 2, 한솔프라자 지층 1003호 (정자동)",37.36213412,127.1144773
휘트니스클럽S,경기도 성남시 분당구 이매동 131-8번지 그린프라자 302호,"경기도 성남시 분당구 판교로 446, 302호 (이매동, 그린프라자)",37.4050289,127.1232927
21C 스포시티,경기도 성남시 분당구 수내동 11-1 청구블루빌 B101 ,"경기도 성남시 분당구 황새울로 224 (수내동,청구블루빌 B101)",37.37883282,127.1132849
MINE 2호점,경기도 성남시 분당구 야탑동 361-5 야탑 대덕프라자 ,"경기도 성남시 분당구 성남대로926번길 6, 야탑 대덕프라자 501,502호 (야탑동)",37.41219183,127.129883
사회복지법인 분당사회관,경기도 성남시 분당구 금곡동 200번지 지하1층,"경기도 성남시 분당구 정자일로 33 (금곡동,지하1층)",37.352895,127.1055796
바이칼토탈휘트니스,경기도 성남시 분당구 야탑동 219-1번지 102-1호,"경기도 성남시 분당구 장미로 198, 102-1호 (야탑동)",37.41238651,127.1429363
휘트니스클럽S 수내점,"경기도 성남시 분당구 수내동 20-6번지 동현프라자 4층 일부, 5층 ","경기도 성남시 분당구 백현로101번길 11, 4층 일부, 5층 (수내동, 동현프라자)",37.37708893,127.111995
GOTO 미금,경기도 성남시 분당구 금곡동 159번지 한국프라자 7층 ,"경기도 성남시 분당구 성남대로 170 (금곡동,한국프라자 7층)",37.3510896,127.1094596
제이진 힐러,경기도 성남시 분당구 운중동 969-3 ,"경기도 성남시 분당구 산운로160번길 10, 1층 (운중동)",37.3924359,127.0793347
험블 휘트니스,경기도 성남시 분당구 정자동 156-1 젤존타워III ,"경기도 성남시 분당구 성남대로331번길 3-3, 젤존타워III 701호 (정자동)",37.36532979,127.1077077
RCM 트레이닝센터,경기도 성남시 분당구 야탑동 272-5 야탑조합상가 ,"경기도 성남시 분당구 벌말로40번길 5-1, 야탑조합상가 404호,405호,406호호 (야탑동)",37.41158838,127.1387792
Aimfit,경기도 성남시 분당구 야탑동 367-6 노블리치2 오피스텔 309호,"경기도 성남시 분당구 야탑로 103, 노블리치2 오피스텔 309호 (야탑동)",37.41012853,127.1301531
크로스핏 피버짐,경기도 성남시 분당구 서현동 272-4 ,"경기도 성남시 분당구 황새울로319번길 8-4, 삼헌빌딩 지하1층 (서현동)",37.3855819,127.120943
분당피티 티바디,경기도 성남시 분당구 서현동 298-2 상록프라자 ,"경기도 성남시 분당구 돌마로486번길 6, 상록프라자 205호 (서현동)",37.37710467,127.1338958
