사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
삼환세탁,경기도 성남시 분당구 서현동 301번지 삼환상가202호 ,"경기도 성남시 분당구 불정로 361 (서현동,삼환상가202호)",37.3735629,127.1342725,일반세탁업
서울세탁,경기도 성남시 분당구 정자동 229-2번지 ,경기도 성남시 분당구 불곡남로13번길 10 (정자동),37.3586171,127.1239635,일반세탁업
서판교세탁,경기도 성남시 분당구 운중동 963번지 마크시티 옐로우 109호 ,"경기도 성남시 분당구 운중로 129 (운중동, 마크시티 옐로우 109호)",37.391894,127.0773562,일반세탁업
선경세탁소,경기도 성남시 분당구 야탑동 536번지 번지 1단지상가 105호 ,"경기도 성남시 분당구 야탑로 20 (야탑동,번지 1단지상가 105호)",37.4076979,127.1212639,일반세탁업
성남시분당시니어클럽 크린세탁,경기도 성남시 분당구 동원동 284-6번지 동원2통경로당 2층 일부 ,"경기도 성남시 분당구 고기로 228 (동원동, 동원2통경로당 2층 일부)",37.352535,127.0815837,일반세탁업
성우세탁,경기도 성남시 분당구 구미동 189-1번지 성우스타우스오피스텔 114호 ,"경기도 성남시 분당구 구미로 16 (구미동, 성우스타우스오피스텔 114호)",37.337645,127.1109415,일반세탁업
성원세탁,경기도 성남시 분당구 금곡동 143번지 청솔마을상가동 102호 ,"경기도 성남시 분당구 미금로 251 (금곡동,청솔마을상가동 102호)",37.3523685,127.1100709,일반세탁업
세종세탁소,경기도 성남시 분당구 구미동 212번지 무지개마을주공12단지아파트 ,"경기도 성남시 분당구 미금로22번길 10, 나동 1층 101호 일부호 (구미동, 무지개마을주공12단지아파트)",37.3351503,127.1193219,일반세탁업
수내사,경기도 성남시 분당구 수내동 115-1번지 정일빌딩 1층 ,"경기도 성남시 분당구 발이봉북로31번길 2 (수내동,정일빌딩 1층)",37.364756,127.1297079,일반세탁업
수미명품세탁소,경기도 성남시 분당구 서현동 94-3번지 우성종합상가 49동 203 ,"경기도 성남시 분당구 중앙공원로40번길 42 (서현동, 우성종합상가 49동 203)",37.3782235,127.1321016,일반세탁업
시그마세탁소,경기도 성남시 분당구 구미동 18번지 시그마2오피스텔 F-12호 ,"경기도 성남시 분당구 탄천상로 164 (구미동,시그마2오피스텔 F-12호)",37.3440382,127.1053869,일반세탁업
시범컴퓨터세탁,경기도 성남시 분당구 서현동 89-7번지 시범단지(한신.삼성)상가306호 ,"경기도 성남시 분당구 중앙공원로39번길 7 (서현동,시범단지(한신.삼성)상가306호)",37.3814174,127.1280762,일반세탁업
시범한양세탁,경기도 성남시 분당구 서현동 91 한양A 상가102호 ,"경기도 성남시 분당구 중앙공원로 17 (서현동,한양A 상가102호)",37.3803735533,127.1271252305,일반세탁업
